Document,Section,Chapter,Keywords,PDF Start Page,PDF End Page,Markdown File
Programming 622 Study Guide,Iterators,TOPIC 2: STANDARD TEMPLATE LIBRARY (STL),iterators; iterator; forward; operations; input; output; container; table; suppose; cntitr; access; element,98,110,documents/programming-622-study-guide/sections/2-7-iterators.md
Programming 622 Study Guide,Review Questions,TOPIC 2: STANDARD TEMPLATE LIBRARY (STL),veclist; int; output; vector; screen; what; iterator; following; elements; begin; statement; object,111,117,documents/programming-622-study-guide/sections/19-review-questions.md
Programming 622 Study Guide,TOPIC 3: LINKED LISTS,TOPIC 3: LINKED LISTS,linked; lists,118,118,documents/programming-622-study-guide/sections/3-topic-3-linked-lists.md
Programming 622 Study Guide,Linked Lists,TOPIC 3: LINKED LISTS,linked; lists; list; node; you; called; array; components; learn; become; operations; nodes,118,124,documents/programming-622-study-guide/sections/3-1-linked-lists.md
Programming 622 Study Guide,Item Insertion and Deletion,TOPIC 3: LINKED LISTS,link; list; newnode; node; linked; info; statements; item; insertion; figure; newnode-; following,125,138,documents/programming-622-study-guide/sections/3-2-item-insertion-and-deletion.md
Programming 622 Study Guide,Linked List as an ADT,TOPIC 3: LINKED LISTS,list; linked; lists; item; elements; adt; basic; end; operations; insert; sorted; order,139,141,documents/programming-622-study-guide/sections/3-3-linked-list-as-an-adt.md
Programming 622 Study Guide,Linked List Iterators,TOPIC 3: LINKED LISTS,iterator; operator; list; node; linkedlistiterator; type; returns; current; postcondition; linked; iterators; overload,142,160,documents/programming-622-study-guide/sections/3-4-linked-list-iterators.md
Programming 622 Study Guide,Unordered Linked Lists,TOPIC 3: LINKED LISTS,list; type; newitem; points; last; unorderedlinkedlist; const; node; unordered; linked; postcondition; first,161,176,documents/programming-622-study-guide/sections/3-5-unordered-linked-lists.md
Programming 622 Study Guide,Ordered Linked Lists,TOPIC 3: LINKED LISTS,list; ordered; linked; newitem; type; insert; const; postcondition; points; void; last; lists,177,194,documents/programming-622-study-guide/sections/3-6-ordered-linked-lists.md
Programming 622 Study Guide,Doubly Linked Lists,TOPIC 3: LINKED LISTS,list; node; linked; doubly; type; last; const; first; empty; null; every; next,195,214,documents/programming-622-study-guide/sections/3-7-doubly-linked-lists.md
Programming 622 Study Guide,STL Sequence Container: list,TOPIC 3: LINKED LISTS,list; container; operations; table; sequence; containers; include; describes; stl; first; various; use,215,219,documents/programming-622-study-guide/sections/3-8-stl-sequence-container-list.md
Programming 622 Study Guide,Linked Lists with Header and Trailer Nodes,TOPIC 3: LINKED LISTS,list; linked; header; trailer; nodes; node; last; set; value; item; lists; first,220,223,documents/programming-622-study-guide/sections/3-9-linked-lists-with-header-and-trailer-nodes.md
Programming 622 Study Guide,Review Questions,TOPIC 3: LINKED LISTS,list; info; link-; linked; link; node; following; list-; cout; statements; nodes; c++,224,232,documents/programming-622-study-guide/sections/30-review-questions.md
Programming 622 Study Guide,TOPIC 4: RECURSION,TOPIC 4: RECURSION,recursion; outcomes; studying; you,233,233,documents/programming-622-study-guide/sections/4-topic-4-recursion.md
Programming 622 Study Guide,Recursive Definitions,TOPIC 4: RECURSION,recursive; equation; use; find; definition; recursion; factorial; definitions; learn; problems; technique; called,233,237,documents/programming-622-study-guide/sections/4-1-recursive-definitions.md
Programming 622 Study Guide,Problem Solving Using Recursion,TOPIC 4: RECURSION,list; largest; element; find; array; elements; recursive; length; sublist; given; figure; maximum,238,263,documents/programming-622-study-guide/sections/4-2-problem-solving-using-recursion.md
Programming 622 Study Guide,Recursion or Iteration?,TOPIC 4: RECURSION,recursive; iterative; memory; space; recursion; control; structure; set; statements; find; solution; its,264,280,documents/programming-622-study-guide/sections/4-3-recursion-or-iteration.md
Programming 622 Study Guide,Review Questions,TOPIC 4: RECURSION,line; what; case; recursive; mystery; base; number; following; general; recursion; value; int,281,284,documents/programming-622-study-guide/sections/35-review-questions.md
Programming 622 Study Guide,TOPIC 5: STACKS,TOPIC 5: STACKS,stacks,285,285,documents/programming-622-study-guide/sections/5-topic-5-stacks.md
Programming 622 Study Guide,Stacks,TOPIC 5: STACKS,stack; stacks; you; computer; calls; recursive; learn; implement; list; science; linked; called,285,307,documents/programming-622-study-guide/sections/5-1-stacks.md
Programming 622 Study Guide,Linked Implementation of Stacks,TOPIC 5: STACKS,stack; type; stacktop; linked; array; representation; can; top; empty; const; linear; number,308,327,documents/programming-622-study-guide/sections/5-2-linked-implementation-of-stacks.md
Programming 622 Study Guide,Stack as Derived from the class unorderedLinkedList,TOPIC 5: STACKS,type; unorderedlinkedlist; linkedstacktype; derived; const; stack; functions; linkedlisttype; void; implement; operations; initializestack,328,329,documents/programming-622-study-guide/sections/5-3-stack-as-derived-from-the-class-unorderedlinkedlist.md
Programming 622 Study Guide,Application of Stacks: Postfix Expressions Calculator,TOPIC 5: STACKS,postfix; expression; expressions; notation; operands; operators; evaluate; infix; stacks; which; operator; first,330,344,documents/programming-622-study-guide/sections/5-4-application-of-stacks-postfix-expressions-calculator.md
Programming 622 Study Guide,Program Listing,TOPIC 5: STACKS,stack; infile; outfile; ofstream; include; void; stacktype; double; char; bool; expressionok; ifstream,345,347,documents/programming-622-study-guide/sections/5-5-program-listing.md
Programming 622 Study Guide,Removing Recursion: Nonrecursive Algorithm to Print a Linked List Backward,TOPIC 5: STACKS,list; node; linked; current; first; line; stack; print; backward; figure; info; last,348,351,documents/programming-622-study-guide/sections/5-6-removing-recursion-nonrecursive-algorithm-to-print-a-linked-list-backward.md
Programming 622 Study Guide,STL class stack,TOPIC 5: STACKS,stack; line; intstack; stl; push; top; operations; container; pop; structure; provides; name,352,356,documents/programming-622-study-guide/sections/5-7-stl-class-stack.md
Programming 622 Study Guide,Review Exercise,TOPIC 5: STACKS,stack; push; cout; following; stacktype; int; endl; type; top; pop; while; string,357,364,documents/programming-622-study-guide/sections/44-review-exercise.md
Programming 622 Study Guide,TOPIC 6: QUEUES,TOPIC 6: QUEUES,queues; outcomes; studying; you; learn,365,365,documents/programming-622-study-guide/sections/6-topic-6-queues.md
Programming 622 Study Guide,Queue Operations,TOPIC 6: QUEUES,queue; queues; first; elements; end; called; customer; front; implement; structure; computer; new,365,368,documents/programming-622-study-guide/sections/6-1-queue-operations.md
Programming 622 Study Guide,Implementation of Queues as Arrays,TOPIC 6: QUEUES,queue; element; operation; addqueue; queuefront; queuerear; array; deletequeue; figure; first; need; elements,369,384,documents/programming-622-study-guide/sections/6-2-implementation-of-queues-as-arrays.md
Programming 622 Study Guide,Linked Implementation of Queues,TOPIC 6: QUEUES,queue; type; implementation; linked; array; const; empty; queuefront; queuerear; postcondition; returns; because,385,399,documents/programming-622-study-guide/sections/6-3-linked-implementation-of-queues.md
Programming 622 Study Guide,Priority Queues,TOPIC 6: QUEUES,priority; queue; implement; use; first; structure; order; they; patients; you; elements; queues,400,410,documents/programming-622-study-guide/sections/6-4-priority-queues.md
Programming 622 Study Guide,Server,TOPIC 6: QUEUES,server; time; free; set; transaction; status; postcondition; busy; customer; transactiontime; servertype; void,411,434,documents/programming-622-study-guide/sections/6-5-server.md
Programming 622 Study Guide,Review Questions,TOPIC 6: QUEUES,queue; cout; stack; addqueue; endl; int; while; following; front; case; break; deletequeue,435,442,documents/programming-622-study-guide/sections/51-review-questions.md
Programming 622 Study Guide,TOPIC 7: SEARCHING AND HASHING ALGORITHMS,TOPIC 7: SEARCHING AND HASHING ALGORITHMS,searching; hashing; outcomes; studying; you,443,443,documents/programming-622-study-guide/sections/7-topic-7-searching-and-hashing-algorithms.md
Programming 622 Study Guide,Search Algorithms,TOPIC 7: SEARCHING AND HASHING ALGORITHMS,search; item; key; set; list; searching; you; can; particular; keys; items; learn,443,444,documents/programming-622-study-guide/sections/7-1-search-algorithms.md
Programming 622 Study Guide,Sequential Search,TOPIC 7: SEARCHING AND HASHING ALGORITHMS,search; sequential; list; found; item; loc; loop; statements; comparisons; key; number; lists,445,448,documents/programming-622-study-guide/sections/7-2-sequential-search.md
Programming 622 Study Guide,Ordered Lists,TOPIC 7: SEARCHING AND HASHING ALGORITHMS,list; ordered; lists; operations; can; orderedarraylisttype; elemtype; elements; performed; determining; whether; define,449,449,documents/programming-622-study-guide/sections/7-3-ordered-lists.md
Programming 622 Study Guide,Binary Search,TOPIC 7: SEARCHING AND HASHING ALGORITHMS,list; search; binary; first; item; figure; middle; element; length; because; index; lists,450,456,documents/programming-622-study-guide/sections/7-4-binary-search.md
Programming 622 Study Guide,Insertion into an Ordered List,TOPIC 7: SEARCHING AND HASHING ALGORITHMS,list; item; insert; ordered; mid; first; inserted; use; else; array; find; where,457,460,documents/programming-622-study-guide/sections/7-5-insertion-into-an-ordered-list.md
Programming 622 Study Guide,Hashing,TOPIC 7: SEARCHING AND HASHING ALGORITHMS,search; table; hash; order; binary; hashing; sequential; log2n; organized; help; item; particular,461,472,documents/programming-622-study-guide/sections/7-6-hashing.md
Programming 622 Study Guide,Rehashing,TOPIC 7: SEARCHING AND HASHING ALGORITHMS,htsize; table; probing; quadratic; probe; probes; divides; sequence; prime; half; suppose; not,473,482,documents/programming-622-study-guide/sections/7-7-rehashing.md
Programming 622 Study Guide,Chaining,TOPIC 7: SEARCHING AND HASHING ALGORITHMS,hash; mod; keys; slot; linked; list; time; chaining; all; same; any; natural,483,491,documents/programming-622-study-guide/sections/7-8-chaining.md
Programming 622 Study Guide,TOPIC 8: SORTING ALGORITHMS,TOPIC 8: SORTING ALGORITHMS,sorting,492,492,documents/programming-622-study-guide/sections/8-topic-8-sorting-algorithms.md
Programming 622 Study Guide,Sorting Algorithms,TOPIC 8: SORTING ALGORITHMS,sorting; lists; sort; array-based; list; selection; search; order; arraylisttype; learn; discussed; does,492,501,documents/programming-622-study-guide/sections/8-1-sorting-algorithms.md
Programming 622 Study Guide,Insertion Sort: Array-Based Lists,TOPIC 8: SORTING ALGORITHMS,list; figure; element; sort; shown; proper; first; firstoutoforder; insertion; elements; sorted; unsorted,502,515,documents/programming-622-study-guide/sections/8-2-insertion-sort-array-based-lists.md
Programming 622 Study Guide,Shellsort,TOPIC 8: SORTING ALGORITHMS,sort; elements; item; list; shellsort; selection; insertion; movements; number; position; final; distance,516,531,documents/programming-622-study-guide/sections/8-3-shellsort.md
Programming 622 Study Guide,Mergesort: Linked List-Based Lists,TOPIC 8: SORTING ALGORITHMS,mergesort; list; sublists; sublist; two; sorted; lists; quicksort; first; linked; follows; second,532,546,documents/programming-622-study-guide/sections/8-4-mergesort-linked-list-based-lists.md
Programming 622 Study Guide,Heapsort: Array-Based Lists,TOPIC 8: SORTING ALGORITHMS,list; element; figure; which; position; heapsort; lists; array-based; quicksort; heap; exists; tree,547,559,documents/programming-622-study-guide/sections/8-5-heapsort-array-based-lists.md
Programming 622 Study Guide,Priority Queues (Revisited),TOPIC 8: SORTING ALGORITHMS,priority; element; list; queue; heap; queues; new; first; largest; implemented; entry; can,560,566,documents/programming-622-study-guide/sections/8-6-priority-queues-revisited.md
Programming 622 Study Guide,TOPIC 9: BINARY TREES AND B-TREES,TOPIC 9: BINARY TREES AND B-TREES,binary; trees; b-trees,567,567,documents/programming-622-study-guide/sections/9-topic-9-binary-trees-and-b-trees.md
Programming 622 Study Guide,Binary Trees,TOPIC 9: BINARY TREES AND B-TREES,item; search; list; binary; deletion; insertion; array; trees; you; what; such; because,567,575,documents/programming-622-study-guide/sections/9-1-binary-trees.md
Programming 622 Study Guide,Binary Tree Traversal,TOPIC 9: BINARY TREES AND B-TREES,binary; tree; traversal; node; traverse; inorder; subtree; visit; preorder; postorder; traversed; left,576,596,documents/programming-622-study-guide/sections/9-2-binary-tree-traversal.md
Programming 622 Study Guide,Binary Search Trees,TOPIC 9: BINARY TREES AND B-TREES,binary; tree; node; search; figure; root; item; our; subtree; compare; because; must,597,615,documents/programming-622-study-guide/sections/9-3-binary-search-trees.md
Programming 622 Study Guide,Binary Search Tree: Analysis,TOPIC 9: BINARY TREES AND B-TREES,search; comparisons; number; case; binary; let; tree; performance; linear; average; log2n; analysis,616,618,documents/programming-622-study-guide/sections/9-4-binary-search-tree-analysis.md
Programming 622 Study Guide,Nonrecursive Binary Tree Traversal Algorithms,TOPIC 9: BINARY TREES AND B-TREES,node; binary; tree; current; traversal; inorder; then; nonrecursive; stack; leftmost; preorder; postorder,619,625,documents/programming-622-study-guide/sections/9-5-nonrecursive-binary-tree-traversal-algorithms.md
Programming 622 Study Guide,Binary Tree Traversal and Functions as Parameters,TOPIC 9: BINARY TREES AND B-TREES,binary; tree; traversal; parameter; search; node; void; functions; employee; line; parameters; visit,626,632,documents/programming-622-study-guide/sections/9-6-binary-tree-traversal-and-functions-as-parameters.md
Programming 622 Study Guide,AVL (Height-Balanced) Trees,TOPIC 9: BINARY TREES AND B-TREES,tree; binary; search; balanced; perfectly; trees; avl; height; left; right; height-balanced; subtrees,633,639,documents/programming-622-study-guide/sections/9-7-avl-height-balanced-trees.md
Programming 622 Study Guide,AVL Tree Rotations,TOPIC 9: BINARY TREES AND B-TREES,tree; node; avl; subtree; figure; nodes; path; root; before; shown; reconstructing; remaining,640,662,documents/programming-622-study-guide/sections/9-8-avl-tree-rotations.md
Programming 622 Study Guide,B-Trees,TOPIC 9: BINARY TREES AND B-TREES,tree; search; b-tree; node; which; has; children; figure; order; m-way; following; properties,663,688,documents/programming-622-study-guide/sections/9-9-b-trees.md
Programming 622 Study Guide,Review Questions,TOPIC 9: BINARY TREES AND B-TREES,tree; binary; node; nodes; sequence; figure; inorder; list; preorder; exercises; through; redraw,689,695,documents/programming-622-study-guide/sections/78-review-questions.md
Programming 622 Study Guide,TOPIC 10: GRAPHS,TOPIC 10: GRAPHS,graphs; implement; learn; graph; you; represent; computer; examine; various; manipulate; outcomes; studying,696,696,documents/programming-622-study-guide/sections/10-topic-10-graphs.md
Programming 622 Study Guide,Introduction,TOPIC 10: GRAPHS,figure; problem; nigsberg; bridge; land; shown; bridges; graph; river; areas; starting; area,696,697,documents/programming-622-study-guide/sections/10-1-introduction.md
Programming 622 Study Guide,Graph Definitions and Notations,TOPIC 10: GRAPHS,graph; set; called; elements; symbol; means; undirected; figure; graphs; pairs; edges; vertex,698,703,documents/programming-622-study-guide/sections/10-2-graph-definitions-and-notations.md
Programming 622 Study Guide,Operations on Graphs,TOPIC 10: GRAPHS,graph; operations; graphs; list; computer; memory; linked; particular; representation; empty; specific; use,704,704,documents/programming-622-study-guide/sections/10-3-operations-on-graphs.md
Programming 622 Study Guide,Graphs as ADTs,TOPIC 10: GRAPHS,graph; postcondition; void; first; traversal; graphtype; vertex; depth; vertices; graphs; implement; perform,705,711,documents/programming-622-study-guide/sections/10-4-graphs-as-adts.md
Programming 622 Study Guide,Graph Traversals,TOPIC 10: GRAPHS,graph; vertex; depth-first; visited; traversal; vertices; search; not; figure; starts; traverse; tree,712,719,documents/programming-622-study-guide/sections/10-5-graph-traversals.md
Programming 622 Study Guide,Shortest Path Algorithm,TOPIC 10: GRAPHS,show; shortest; path; can; graphs; graph; theory; has; many; use; chemicals; related,720,720,documents/programming-622-study-guide/sections/10-6-shortest-path-algorithm.md
Programming 622 Study Guide,Shortest Path,TOPIC 10: GRAPHS,graph; vertex; shortest; path; weight; every; matrix; let; weightedgraphtype; postcondition; void; int,721,731,documents/programming-622-study-guide/sections/10-7-shortest-path.md
Programming 622 Study Guide,Minimum Spanning Tree,TOPIC 10: GRAPHS,figure; graph; tree; spanning; graphs; connections; called; such; cost; factor; cities; maintaining,732,744,documents/programming-622-study-guide/sections/10-8-minimum-spanning-tree.md
Programming 622 Study Guide,Topological Order,TOPIC 10: GRAPHS,course; graph; vertex; topological; courses; directed; order; before; take; can; such; has,745,746,documents/programming-622-study-guide/sections/10-9-topological-order.md
Programming 622 Study Guide,Breadth-First Topological Ordering,TOPIC 10: GRAPHS,topological; ordering; breadth-first; predcount; queue; first; vertex; graph; vertices; next; has; predecessor,747,767,documents/programming-622-study-guide/sections/10-10-breadth-first-topological-ordering.md
Programming 622 Study Guide,ASSIGNMENT.GUIDELINES. ATTENTION STUDENTS/STAFF,ASSIGNMENT.GUIDELINES. ATTENTION STUDENTS/STAFF,without; assignment; work; source; referencing; your; somebody; plagiarism; acknowledging; academic; taking; ideas,768,772,documents/programming-622-study-guide/sections/11-assignment-guidelines-attention-students-staff.md
Information Systems 622 Study Guide,CHAPTER 1: Development Strategies,CHAPTER 1: Development Strategies,software; explain; strategies; process; choosing; request; outcomes; reading; learner; compare; traditional; web-based,8,8,documents/information-systems-622-study-guide/sections/1-chapter-1-development-strategies.md
Information Systems 622 Study Guide,TRADITIONAL VERSUS WEB-BASED SYSTEMS DEVELOPMENT,CHAPTER 1: Development Strategies,traditional; web-based; software; web; environment; two; key; versus; companies; typically; require; some,8,9,documents/information-systems-622-study-guide/sections/1-1-traditional-versus-web-based-systems-development.md
Information Systems 622 Study Guide,EVOLVING TRENDS,CHAPTER 1: Development Strategies,web; cloud; computing; trends; evolving; mobile; devices; rapidly; internet; technology; interaction; access,10,10,documents/information-systems-622-study-guide/sections/1-2-evolving-trends.md
Information Systems 622 Study Guide,IN-HOUSE SOFTWARE DEVELOPMENT OPTIONS,CHAPTER 1: Development Strategies,software; package; companies; in-house; decision; options; may; commercial; buy; horizontal; has; option,11,30,documents/information-systems-622-study-guide/sections/1-3-in-house-software-development-options.md
Information Systems 622 Study Guide,1. I 0 SUMMARY,1. I 0 SUMMARY,covers; strategic; decisions; involved; particularly; preparation; presentation; requirements; contrasts; traditional; which; often,31,31,documents/information-systems-622-study-guide/sections/1-1-i-0-summary.md
Information Systems 622 Study Guide,Key Points:,1. I 0 SUMMARY,software; outsourcing; in-house; traditional; specific; internet; resources; saas; offshoring; key; points; web-based,31,32,documents/information-systems-622-study-guide/sections/06-key-points.md
Information Systems 622 Study Guide,Conclusion,1. I 0 SUMMARY,conclusion; software; focus; was; variety; strategies; tools; evaluating; acquisition; methods; presenting; findings,33,36,documents/information-systems-622-study-guide/sections/07-conclusion.md
Information Systems 622 Study Guide,CHAPTER 2: User Interface Design,CHAPTER 2: User Interface Design,user; interface; design; outcomes; reading; learner,37,37,documents/information-systems-622-study-guide/sections/2-chapter-2-user-interface-design.md
Information Systems 622 Study Guide,USER INTERFACES,CHAPTER 2: User Interface Design,user; interfaces; explain,37,37,documents/information-systems-622-study-guide/sections/2-1-user-interfaces.md
Information Systems 622 Study Guide,HUMAN-COMPUTER INTERACTION,CHAPTER 2: User Interface Design,user; design; output; users; interface; needs; explain; computer; input; now; interaction; including,37,40,documents/information-systems-622-study-guide/sections/2-2-human-computer-interaction.md
Information Systems 622 Study Guide,GUIDELINES FOR USER INTERFACE DESIGN,CHAPTER 2: User Interface Design,interface; design; principles; guidelines; user; although; professionals; may; have; varying; opinions; most,41,41,documents/information-systems-622-study-guide/sections/2-3-guidelines-for-user-interface-design.md
Information Systems 622 Study Guide,Understand the Business,CHAPTER 2: User Interface Design,business; understand; must; functions; interface; fdd; designer; comprehend; underlying; supports; individual; departmental,41,41,documents/information-systems-622-study-guide/sections/2-3-1-understand-the-business.md
Information Systems 622 Study Guide,Maximize Graphical Effectiveness,CHAPTER 2: User Interface Design,graphical; maximize; effectiveness; learn; visually; windows; interface; users; entry; research; indicates; people,41,41,documents/information-systems-622-study-guide/sections/2-3-2-maximize-graphical-effectiveness.md
Information Systems 622 Study Guide,Think Like a User,CHAPTER 2: User Interface Design,users; like; interface; think; user; experiences; must; analyst; understand; knowledge; skill; levels,41,41,documents/information-systems-622-study-guide/sections/2-3-3-think-like-a-user.md
Information Systems 622 Study Guide,Use Models and Prototypes,CHAPTER 2: User Interface Design,models; prototypes; can; use; it's; user; feedback; through; users; interface; most; critical,42,42,documents/information-systems-622-study-guide/sections/2-3-4-use-models-and-prototypes.md
Information Systems 622 Study Guide,Focus on Usability,CHAPTER 2: User Interface Design,users; options; focus; usability; screen; too; can; user; interface; include; all; necessary,42,42,documents/information-systems-622-study-guide/sections/2-3-5-focus-on-usability.md
Information Systems 622 Study Guide,Invite Feedback,CHAPTER 2: User Interface Design,feedback; invite; user; may; even; operational; it's; monitor; its; usage; solicit; suggestions,42,42,documents/information-systems-622-study-guide/sections/2-3-6-invite-feedback.md
Information Systems 622 Study Guide,Document Everything,CHAPTER 2: User Interface Design,everything; screen; designs; all; thoroughly; documented; later; use; programmers; case; tool; generator,42,42,documents/information-systems-622-study-guide/sections/2-3-7-document-everything.md
Information Systems 622 Study Guide,GUIDELINES FOR USER INTERFACE DESIGN,CHAPTER 2: User Interface Design,interface; users; design; user; must; can; guidelines; principles; business; visually; learn; feedback,41,42,documents/information-systems-622-study-guide/sections/2-4-guidelines-for-user-interface-design.md
Information Systems 622 Study Guide,Create an Interface That Is Easy to Learn and Use,CHAPTER 2: User Interface Design,users; interface; easy; all; easily; use; design; screen; commands; can; without; clear,43,43,documents/information-systems-622-study-guide/sections/2-4-1-create-an-interface-that-is-easy-to-learn-and-use.md
Information Systems 622 Study Guide,Enhance User Productivity,CHAPTER 2: User Interface Design,users; productivity; tasks; menu; interface; can; commands; enhance; user; hierarchy; used; best,44,44,documents/information-systems-622-study-guide/sections/2-4-2-enhance-user-productivity.md
Information Systems 622 Study Guide,Provide Flexibility,CHAPTER 2: User Interface Design,user; flexibility; value; provide; approach; could; default; enter; imagine; scenario; where; wants,45,45,documents/information-systems-622-study-guide/sections/2-4-3-provide-flexibility.md
Information Systems 622 Study Guide,Provide Users with Help and Feedback,CHAPTER 2: User Interface Design,help; users; user; provide; messages; screen; command; easy; always; way; long; feedback,45,46,documents/information-systems-622-study-guide/sections/2-4-4-provide-users-with-help-and-feedback.md
Information Systems 622 Study Guide,Create an Attractive Layout and Design,CHAPTER 2: User Interface Design,use; user; can; screen; attractive; layout; design; like; they; users; effects; display,47,47,documents/information-systems-622-study-guide/sections/2-4-5-create-an-attractive-layout-and-design.md
Information Systems 622 Study Guide,Enhance the Interface,CHAPTER 2: User Interface Design,buttons; interface; boxes; user; such; bars; dialog; command; screen; users; enhance; menu,48,49,documents/information-systems-622-study-guide/sections/2-4-6-enhance-the-interface.md
Information Systems 622 Study Guide,Focus on Data Entry Screens,CHAPTER 2: User Interface Design,entry; users; field; fields; screens; can; where; user; key; source; when; required,50,51,documents/information-systems-622-study-guide/sections/2-4-7-focus-on-data-entry-screens.md
Information Systems 622 Study Guide,Use Validation Rules,CHAPTER 2: User Interface Design,check; entered; validation; range; rules; will; types; sequence; ensures; type; can; rule,52,54,documents/information-systems-622-study-guide/sections/2-4-8-use-validation-rules.md
Information Systems 622 Study Guide,Manage Data Effectively,CHAPTER 2: User Interface Design,manage; effectively; effective; only; possible; instead; forms; entry; instance; not; impacts; users,55,55,documents/information-systems-622-study-guide/sections/2-4-9-manage-data-effectively.md
Information Systems 622 Study Guide,Reduce Input Volume,CHAPTER 2: User Interface Design,entry; reduce; input; volume; errors; only; order; can; enter; entered; name; avoid,55,55,documents/information-systems-622-study-guide/sections/2-4-10-reduce-input-volume.md
Information Systems 622 Study Guide,SOURCE DOCUMENT ANO FORM DESIGN,CHAPTER 2: User Interface Design,form; source; zone; design; input; documents; quality; out; entry; space; users; ano,55,56,documents/information-systems-622-study-guide/sections/2-5-source-document-ano-form-design.md
